"author_id";"name";"count"
278;"approved";8
278;"cncf-cla: yes";8
278;"kind/bug";2
278;"kind/feature";2
278;"lgtm";8
278;"milestone/needs-attention";1
278;"priority/critical-urgent";4
278;"release-note";8
278;"sig/auth";1
278;"sig/aws";4
278;"sig/scheduling";1
278;"sig/storage";8
278;"size/L";2
278;"size/M";4
278;"size/XL";1
278;"size/XS";1
278;"status/approved-for-milestone";4
278;"status/in-progress";3
354;"approved";1
354;"area/kube-proxy";1
354;"cncf-cla: yes";1
354;"lgtm";1
354;"release-note";1
354;"sig/network";1
354;"size/L";1
20809;"backported-to-v9.x";1
20809;"backport-requested-v6.x";1
20809;"backport-requested-v8.x";1
20809;"benchmark";1
20809;"blocked";1
20809;"dont-land-on-v4.x";7
20809;"dont-land-on-v6.x";9
20809;"dont-land-on-v8.x";4
20809;"errors";1
20809;"events";3
20809;"http";1
20809;"http2";4
20809;"in progress";1
20809;"land-on-v8.x";3
20809;"lib / src";2
20809;"performance";3
20809;"process";2
20809;"refactor to ES6+";2
20809;"semver-major";1
20809;"semver-minor";1
20809;"test";3
20809;"timers";1
20809;"tools";1
23304;"approved";8
23304;"cherrypick-approved";3
23304;"cncf-cla: yes";10
23304;"do-not-merge/hold";1
23304;"do-not-merge/release-note-label-needed";1
23304;"kind/bug";4
23304;"lgtm";8
23304;"priority/critical-urgent";4
23304;"release-note";4
23304;"release-note-none";5
23304;"sig/cluster-lifecycle";2
23304;"sig/node";1
23304;"sig/openstack";2
23304;"sig/storage";1
23304;"size/M";2
23304;"size/S";4
23304;"size/XS";4
23304;"status/approved-for-milestone";5
23304;"status/in-progress";4
41858;"approved";6
41858;"area/kubeadm";6
41858;"cherrypick-approved";3
41858;"cncf-cla: yes";7
41858;"kind/cleanup";1
41858;"kind/feature";1
41858;"lgtm";6
41858;"milestone/needs-attention";1
41858;"needs-rebase";1
41858;"priority/critical-urgent";1
41858;"priority/important-soon";1
41858;"release-note";3
41858;"release-note-none";3
41858;"sig/cluster-lifecycle";6
41858;"size/L";2
41858;"size/M";3
41858;"size/XS";2
41858;"status/approved-for-milestone";2
41858;"status/in-progress";1
52195;"console";1
52195;"dont-land-on-v4.x";2
52195;"dont-land-on-v6.x";2
52195;"http";1
52195;"land-on-v8.x";2
87088;"approved";8
87088;"area/security";1
87088;"cncf-cla: yes";8
87088;"kind/api-change";1
87088;"kind/bug";1
87088;"kind/cleanup";2
87088;"kind/new-api";1
87088;"lgtm";8
87088;"priority/critical-urgent";1
87088;"release-note";2
87088;"release-note-none";6
87088;"sig/auth";3
87088;"sig/node";1
87088;"size/L";1
87088;"size/M";4
87088;"size/S";1
87088;"size/XS";1
87088;"size/XXL";1
87088;"status/approved-for-milestone";1
87088;"status/in-progress";1
96947;"async_wrap";1
96947;"backport-requested-v6.x";1
96947;"backport-requested-v8.x";1
96947;"baking-for-lts";2
96947;"build";5
96947;"CI / flaky test";1
96947;"dns";1
96947;"doc";3
96947;"dont-land-on-v6.x";4
96947;"dont-land-on-v8.x";2
96947;"fast-track";2
96947;"https";1
96947;"in progress";1
96947;"inspector";1
96947;"install";1
96947;"land-on-v6.x";2
96947;"land-on-v8.x";5
96947;"lts-watch-v6.x";4
96947;"lts-watch-v8.x";1
96947;"meta";4
96947;"net";1
96947;"notable-change";1
96947;"python";1
96947;"regression";1
96947;"test";4
96947;"tools";6
96947;"windows";3
100893;"approved";2
100893;"cherrypick-approved";2
100893;"cncf-cla: yes";5
100893;"do-not-merge/release-note-label-needed";1
100893;"do-not-merge/work-in-progress";1
100893;"kind/bug";1
100893;"kind/feature";1
100893;"lgtm";2
100893;"lifecycle/rotten";2
100893;"needs-rebase";3
100893;"priority/critical-urgent";2
100893;"release-note";2
100893;"release-note-none";1
100893;"sig/api-machinery";1
100893;"sig/aws";1
100893;"size/L";3
100893;"size/XS";2
100893;"status/approved-for-milestone";2
100893;"status/in-progress";1
101553;"backported-to-v8.x";2
101553;"backport-requested-v6.x";5
101553;"backport-requested-v8.x";3
101553;"build";1
101553;"C++";12
101553;"child_process";1
101553;"crypto";1
101553;"doc";4
101553;"dont-land-on-v4.x";2
101553;"dont-land-on-v6.x";10
101553;"dont-land-on-v8.x";2
101553;"fast-track";1
101553;"inspector";1
101553;"land-on-v8.x";8
101553;"lib / src";1
101553;"lts-watch-v6.x";1
101553;"lts-watch-v8.x";1
101553;"V8 Engine";2
101553;"vm";2
174200;"approved";3
174200;"cncf-cla: yes";6
174200;"lgtm";3
174200;"needs-rebase";2
174200;"release-note-none";6
174200;"sig/scheduling";5
174200;"size/L";2
174200;"size/M";2
174200;"size/S";1
174200;"size/XL";1
243674;"Bug";37
243674;"Cache";2
243674;"Debug";4
243674;"DependencyInjection";15
243674;"Feature";1
243674;"FrameworkBundle";6
243674;"HttpFoundation";2
243674;"HttpKernel";7
243674;"Performance";3
243674;"Process";3
243674;"Routing";1
243674;"SecurityBundle";1
243674;"Status: Needs Review";29
243674;"Status: Reviewed";33
243674;"TwigBridge";1
243674;"VarDumper";1
275871;"backported-to-v9.x";1
275871;"backport-requested-v6.x";1
275871;"backport-requested-v8.x";2
275871;"baking-for-lts";1
275871;"build";1
275871;"C++";8
275871;"cares";1
275871;"crypto";1
275871;"doc";1
275871;"dont-land-on-v4.x";2
275871;"dont-land-on-v6.x";8
275871;"dont-land-on-v8.x";2
275871;"dont-land-on-v9.x";1
275871;"fs";2
275871;"inspector";1
275871;"land-on-v8.x";3
275871;"lib / src";2
275871;"lts-watch-v6.x";1
275871;"lts-watch-v8.x";3
275871;"module";1
275871;"semver-major";1
275871;"tools";3
408368;"Bug";1
408368;"PhpUnitBridge";1
408368;"Status: Reviewed";1
439929;"async_wrap";1
439929;"C++";6
439929;"doc";1
439929;"dont-land-on-v4.x";1
439929;"dont-land-on-v6.x";8
439929;"errors";1
439929;"fast-track";1
439929;"fs";1
439929;"http2";10
439929;"land-on-v6.x";1
439929;"land-on-v8.x";6
439929;"lib / src";6
439929;"semver-major";1
439929;"semver-minor";1
439929;"test";3
498775;"build";4
498775;"doc";2
498775;"dont-land-on-v4.x";5
498775;"dont-land-on-v6.x";5
498775;"dont-land-on-v8.x";3
498775;"fast-track";2
498775;"https";1
498775;"land-on-v6.x";2
498775;"land-on-v8.x";2
498775;"libuv";1
498775;"lts-agenda";1
498775;"meta";5
498775;"test";1
498775;"tools";3
498775;"v6.x";1
498775;"V8 Engine";3
498775;"v8.x";1
577277;"awaiting testing (then merge)";3
577277;"cla: yes";7
647318;"approved";2
647318;"cncf-cla: yes";2
647318;"kind/api-change";1
647318;"kind/cleanup";1
647318;"lgtm";2
647318;"milestone/needs-attention";1
647318;"priority/critical-urgent";1
647318;"release-note-none";2
647318;"sig/api-machinery";1
647318;"size/XL";1
647318;"size/XS";1
647318;"status/approved-for-milestone";1
695290;"approved";9
695290;"area/hw-accelerators";2
695290;"cncf-cla: yes";10
695290;"kind/bug";4
695290;"kind/cleanup";2
695290;"kind/feature";2
695290;"lgtm";9
695290;"milestone/needs-approval";1
695290;"milestone/needs-attention";1
695290;"priority/critical-urgent";2
695290;"priority/important-soon";1
695290;"release-note";3
695290;"release-note-none";7
695290;"sig/api-machinery";1
695290;"sig/auth";1
695290;"sig/instrumentation";1
695290;"sig/node";3
695290;"sig/scheduling";5
695290;"sig/testing";1
695290;"size/L";3
695290;"size/M";2
695290;"size/S";1
695290;"size/XS";4
695290;"status/approved-for-milestone";2
718899;"async_wrap";1
718899;"backported-to-v6.x";1
718899;"backported-to-v8.x";3
718899;"backported-to-v9.x";1
718899;"backport-requested-v6.x";1
718899;"baking-for-lts";1
718899;"benchmark";2
718899;"buffer";1
718899;"CI / flaky test";1
718899;"cluster";1
718899;"doc";9
718899;"dont-land-on-v4.x";1
718899;"dont-land-on-v6.x";12
718899;"dont-land-on-v8.x";1
718899;"errors";1
718899;"fast-track";1
718899;"fs";3
718899;"http";1
718899;"https";1
718899;"in progress";2
718899;"land-on-v6.x";7
718899;"land-on-v8.x";16
718899;"lts-watch-v6.x";1
718899;"path";1
718899;"test";12
718899;"tools";4
730123;"approved";21
730123;"area/admission-control";1
730123;"area/apiserver";1
730123;"area/client-libraries";1
730123;"area/code-generation";3
730123;"area/custom-resources";1
730123;"area/security";3
730123;"area/test";1
730123;"cncf-cla: yes";31
730123;"do-not-merge/hold";1
730123;"do-not-merge/release-note-label-needed";5
730123;"do-not-merge/work-in-progress";2
730123;"kind/api-change";2
730123;"kind/bug";7
730123;"kind/cleanup";13
730123;"kind/feature";1
730123;"kind/flake";5
730123;"kind/new-api";3
730123;"lgtm";22
730123;"lifecycle/frozen";1
730123;"lifecycle/rotten";1
730123;"lifecycle/stale";2
730123;"milestone/needs-approval";1
730123;"milestone/removed";3
